AnimalID,Date,Temperature,ActivityScore,FeedingTime,MilkYield,AlertStatus,Month,Year,DayOfWeek
COW1127,2023-01-01 00:00:00.000000000,38.37,77,3.2,6.31,Normal,1,2023,Sunday
COW1460,2023-01-01 03:30:16.923384676,37.93,76,1.64,3.49,Normal,1,2023,Sunday
COW0861,2023-01-01 07:00:33.846769353,37.7,47,3.09,9.13,Normal,1,2023,Sunday
COW1295,2023-01-01 10:30:50.770154030,37.89,5,3.52,8.95,Normal,1,2023,Sunday
COW1131,2023-01-01 14:01:07.693538707,39.2,75,1.71,6.45,Normal,1,2023,Sunday
COW1096,2023-01-01 17:31:24.616923384,38.0,59,1.69,3.85,Normal,1,2023,Sunday
COW1725,2023-01-01 21:01:41.540308061,38.38,75,3.65,11.44,Normal,1,2023,Sunday
COW1045,2023-01-02 00:31:58.463692738,39.06,59,0.67,1.67,Normal,1,2023,Monday
COW1639,2023-01-02 04:02:15.387077415,38.28,47,1.73,3.91,Normal,1,2023,Monday
COW0122,2023-01-02 07:32:32.310462092,39.01,95,0.92,1.59,Normal,1,2023,Monday
COW0467,2023-01-02 11:02:49.233846769,37.27,95,0.6,2.16,Normal,1,2023,Monday
COW1239,2023-01-02 14:33:06.157231446,38.39,13,0.9,0.84,Normal,1,2023,Monday
COW0331,2023-01-02 18:03:23.080616123,38.56,78,2.01,4.48,Normal,1,2023,Monday
COW1483,2023-01-02 21:33:40.004000800,38.52,89,2.9,7.2,Normal,1,2023,Monday
COW0088,2023-01-03 01:03:56.927385477,37.18,33,1.51,1.52,Normal,1,2023,Tuesday
COW1397,2023-01-03 04:34:13.850770154,39.46,97,3.47,8.58,Normal,1,2023,Tuesday
COW1124,2023-01-03 08:04:30.774154830,37.82,62,2.03,6.8,Normal,1,2023,Tuesday
COW0872,2023-01-03 11:34:47.697539507,38.77,79,3.89,10.16,Normal,1,2023,Tuesday
COW1688,2023-01-03 15:05:04.620924184,38.51,16,3.84,8.94,Normal,1,2023,Tuesday
COW0131,2023-01-03 18:35:21.544308861,39.3,44,3.21,7.55,Normal,1,2023,Tuesday
COW1686,2023-01-03 22:05:38.467693538,40.25,58,3.76,9.74,Alert,1,2023,Tuesday
COW1333,2023-01-04 01:35:55.391078215,37.47,6,2.97,6.91,Normal,1,2023,Wednesday
COW0770,2023-01-04 05:06:12.314462892,37.98,89,3.63,9.54,Normal,1,2023,Wednesday
COW0344,2023-01-04 08:36:29.237847569,38.65,15,1.33,2.79,Normal,1,2023,Wednesday
COW1516,2023-01-04 12:06:46.161232246,37.62,4,1.71,3.25,Normal,1,2023,Wednesday
COW1438,2023-01-04 15:37:03.084616923,39.13,56,3.14,9.03,Normal,1,2023,Wednesday
